#{"t_start": 1678197736.3717868, "env_id": "CartPole-v0"}
r,l,t
27.0,27,5.967574
11.0,11,5.967574
12.0,12,5.975597
18.0,18,5.975597
13.0,13,5.975597
27.0,27,5.97911
26.0,26,5.983625
15.0,15,5.983625
11.0,11,5.983625
15.0,15,5.983625
15.0,15,5.983625
35.0,35,5.99164
23.0,23,5.99164
15.0,15,5.99164
13.0,13,5.99164
20.0,20,5.99164
26.0,26,5.999645
65.0,65,5.999645
17.0,17,5.999645
35.0,35,6.007726
12.0,12,6.007726
12.0,12,6.007726
10.0,10,6.007726
38.0,38,6.007726
13.0,13,6.007726
17.0,17,6.015644
10.0,10,6.015644
39.0,39,6.015644
20.0,20,6.015644
12.0,12,6.015644
15.0,15,6.015644
17.0,17,6.015644
22.0,22,6.023731
40.0,40,6.023731
29.0,29,6.023731
29.0,29,6.031646
16.0,16,6.031646
21.0,21,6.031646
9.0,9,6.039727
18.0,18,6.039727
19.0,19,6.039727
46.0,46,6.047644
44.0,44,6.047644
9.0,9,6.047644
11.0,11,6.047644
11.0,11,6.047644
22.0,22,6.055739
32.0,32,6.071682
15.0,15,6.071682
17.0,17,6.071682
37.0,37,6.079193
16.0,16,6.079193
18.0,18,6.079193
18.0,18,6.079193
57.0,57,6.087207
16.0,16,6.087207
23.0,23,6.087207
34.0,34,6.087207
9.0,9,6.087207
14.0,14,6.087207
16.0,16,6.087207
13.0,13,6.095207
22.0,22,6.095207
18.0,18,6.095207
30.0,30,6.095207
44.0,44,6.103251
20.0,20,6.103251
66.0,66,6.103251
10.0,10,6.111212
24.0,24,6.111212
33.0,33,6.111212
15.0,15,6.111212
17.0,17,6.119291
19.0,19,6.119291
15.0,15,6.119291
55.0,55,6.119291
18.0,18,6.119291
12.0,12,6.119291
11.0,11,6.119291
32.0,32,6.127293
19.0,19,6.127293
38.0,38,6.127293
15.0,15,6.127293
20.0,20,6.135294
24.0,24,6.135294
19.0,19,6.135294
12.0,12,6.135294
23.0,23,6.135294
29.0,29,6.135294
27.0,27,6.151206
40.0,40,6.159207
59.0,59,6.159207
48.0,48,6.167207
21.0,21,6.167207
15.0,15,6.167207
10.0,10,6.167207
18.0,18,6.167207
15.0,15,6.167207
35.0,35,6.175307
23.0,23,6.179317
15.0,15,6.179317
18.0,18,6.183332
15.0,15,6.183332
19.0,19,6.183332
25.0,25,6.183332
16.0,16,6.191354
16.0,16,6.191354
11.0,11,6.191354
22.0,22,6.191354
12.0,12,6.191354
26.0,26,6.196183
10.0,10,6.196183
13.0,13,6.199694
12.0,12,6.199694
26.0,26,6.199694
55.0,55,6.199694
33.0,33,6.207712
70.0,70,6.218117
23.0,23,6.21926
10.0,10,6.21926
55.0,55,6.223772
28.0,28,6.223772
35.0,35,6.223772
20.0,20,6.223772
23.0,23,6.231785
43.0,43,6.231785
16.0,16,6.231785
13.0,13,6.239784
12.0,12,6.239784
13.0,13,6.247789
58.0,58,6.26407
16.0,16,6.26407
17.0,17,6.270344
20.0,20,6.272386
13.0,13,6.272386
18.0,18,6.272386
53.0,53,6.283758
20.0,20,6.283758
13.0,13,6.283758
86.0,86,6.288772
40.0,40,6.288772
13.0,13,6.296823
14.0,14,6.296823
19.0,19,6.296823
21.0,21,6.304789
87.0,87,6.312876
17.0,17,6.32089
13.0,13,6.32089
49.0,49,6.32089
13.0,13,6.32089
39.0,39,6.328892
13.0,13,6.328892
19.0,19,6.328892
72.0,72,6.336932
17.0,17,6.336932
51.0,51,6.344948
16.0,16,6.352949
44.0,44,6.352949
21.0,21,6.352949
18.0,18,6.352949
41.0,41,6.360948
31.0,31,6.360948
34.0,34,6.379362
15.0,15,6.379362
20.0,20,6.379362
33.0,33,6.385373
32.0,32,6.385373
14.0,14,6.385373
53.0,53,6.393395
60.0,60,6.393395
20.0,20,6.401392
19.0,19,6.401392
17.0,17,6.401392
46.0,46,6.401392
14.0,14,6.401392
20.0,20,6.401392
31.0,31,6.409392
19.0,19,6.409392
18.0,18,6.409392
13.0,13,6.409392
27.0,27,6.409392
12.0,12,6.41739
14.0,14,6.41739
28.0,28,6.41739
18.0,18,6.41739
16.0,16,6.41739
23.0,23,6.41739
11.0,11,6.41739
18.0,18,6.425388
26.0,26,6.425388
18.0,18,6.425388
12.0,12,6.425388
12.0,12,6.425388
10.0,10,6.425388
13.0,13,6.425388
16.0,16,6.43339
21.0,21,6.43339
25.0,25,6.43339
17.0,17,6.43339
21.0,21,6.43339
25.0,25,6.43339
61.0,61,6.441396
14.0,14,6.441396
13.0,13,6.441396
17.0,17,6.449452
28.0,28,6.449452
21.0,21,6.457475
36.0,36,6.457475
13.0,13,6.457475
22.0,22,6.465487
29.0,29,6.465487
26.0,26,6.465487
14.0,14,6.473528
10.0,10,6.473528
15.0,15,6.473528
25.0,25,6.473528
15.0,15,6.473528
16.0,16,6.473528
14.0,14,6.480051
42.0,42,6.481593
35.0,35,6.481593
20.0,20,6.489611
14.0,14,6.489611
13.0,13,6.489611
9.0,9,6.489611
32.0,32,6.489611
11.0,11,6.489611
28.0,28,6.497869
23.0,23,6.497869
13.0,13,6.497869
10.0,10,6.497869
88.0,88,6.505889
36.0,36,6.505889
43.0,43,6.513904
13.0,13,6.513904
28.0,28,6.513904
46.0,46,6.52191
11.0,11,6.52191
58.0,58,6.52191
25.0,25,6.52191
23.0,23,6.53037
14.0,14,6.53037
14.0,14,6.53037
11.0,11,6.53037
22.0,22,6.53037
9.0,9,6.53037
14.0,14,6.53037
20.0,20,6.538407
28.0,28,6.538407
22.0,22,6.546385
41.0,41,6.546385
12.0,12,6.546385
21.0,21,6.546385
21.0,21,6.546385
17.0,17,6.554386
19.0,19,6.554386
24.0,24,6.554386
36.0,36,6.554386
22.0,22,6.554386
56.0,56,6.562385
15.0,15,6.562385
28.0,28,6.562385
19.0,19,6.572936
21.0,21,6.572936
14.0,14,6.572936
18.0,18,6.578447
15.0,15,6.580017
13.0,13,6.580017
25.0,25,6.580017
35.0,35,6.580017
14.0,14,6.580017
11.0,11,6.580017
24.0,24,6.586532
14.0,14,6.586532
25.0,25,6.586532
9.0,9,6.586532
56.0,56,6.594548
14.0,14,6.594548
18.0,18,6.594548
10.0,10,6.602547
11.0,11,6.602547
15.0,15,6.602547
18.0,18,6.602547
34.0,34,6.602547
20.0,20,6.602547
17.0,17,6.610569
14.0,14,6.610569
27.0,27,6.610569
58.0,58,6.618545
20.0,20,6.618545
23.0,23,6.618545
11.0,11,6.618545
14.0,14,6.618545
25.0,25,6.618545
12.0,12,6.626573
19.0,19,6.634545
23.0,23,6.634545
15.0,15,6.634545
18.0,18,6.634545
14.0,14,6.634545
36.0,36,6.634545
21.0,21,6.634545
26.0,26,6.642542
38.0,38,6.642542
19.0,19,6.642542
10.0,10,6.642542
14.0,14,6.642542
15.0,15,6.642542
27.0,27,6.650569
36.0,36,6.650569
20.0,20,6.650569
29.0,29,6.650569
56.0,56,6.658545
14.0,14,6.658545
24.0,24,6.658545
54.0,54,6.666545
40.0,40,6.666545
25.0,25,6.666545
23.0,23,6.666545
9.0,9,6.666545
17.0,17,6.666545
28.0,28,6.674559
26.0,26,6.674559
15.0,15,6.674559
20.0,20,6.674559
17.0,17,6.674559
28.0,28,6.679568
36.0,36,6.682584
13.0,13,6.682584
12.0,12,6.682584
18.0,18,6.682584
23.0,23,6.682584
30.0,30,6.682584
16.0,16,6.690921
89.0,89,6.698951
15.0,15,6.698951
15.0,15,6.698951
20.0,20,6.698951
12.0,12,6.698951
15.0,15,6.707329
12.0,12,6.707329
13.0,13,6.707329
16.0,16,6.707329
17.0,17,6.707329
15.0,15,6.707329
12.0,12,6.707329
24.0,24,6.707329
19.0,19,6.715328
12.0,12,6.715328
21.0,21,6.715328
19.0,19,6.715328
16.0,16,6.715328
17.0,17,6.715328
26.0,26,6.715328
17.0,17,6.723335
34.0,34,6.723335
14.0,14,6.723335
21.0,21,6.723335
20.0,20,6.723335
11.0,11,6.723335
18.0,18,6.731332
15.0,15,6.731332
11.0,11,6.731332
20.0,20,6.731332
13.0,13,6.731332
11.0,11,6.731332
28.0,28,6.739336
19.0,19,6.739336
10.0,10,6.739336
10.0,10,6.739336
37.0,37,6.739336
19.0,19,6.739336
24.0,24,6.747347
13.0,13,6.747347
28.0,28,6.747347
24.0,24,6.747347
11.0,11,6.747347
42.0,42,6.755357
25.0,25,6.755357
13.0,13,6.755357
14.0,14,6.755357
12.0,12,6.755357
10.0,10,6.755357
15.0,15,6.755357
30.0,30,6.763329
17.0,17,6.763329
28.0,28,6.763329
28.0,28,6.763329
18.0,18,6.771341
13.0,13,6.771341
18.0,18,6.771341
39.0,39,6.771341
31.0,31,6.779853
14.0,14,6.779853
17.0,17,6.779853
15.0,15,6.779853
15.0,15,6.779853
26.0,26,6.779853
23.0,23,6.787873
28.0,28,6.787873
29.0,29,6.787873
9.0,9,6.787873
13.0,13,6.787873
14.0,14,6.787873
18.0,18,6.787873
24.0,24,6.79589
17.0,17,6.79589
14.0,14,6.79589
18.0,18,6.79589
14.0,14,6.79589
11.0,11,6.79589
19.0,19,6.803896
19.0,19,6.803896
18.0,18,6.803896
11.0,11,6.803896
20.0,20,6.803896
24.0,24,6.803896
37.0,37,6.803896
15.0,15,6.814162
50.0,50,6.820402
11.0,11,6.820402
24.0,24,6.820402
38.0,38,6.828411
14.0,14,6.828411
20.0,20,6.828411
45.0,45,6.836443
16.0,16,6.836443
16.0,16,6.836443
16.0,16,6.836443
26.0,26,6.836443
12.0,12,6.836443
15.0,15,6.836443
32.0,32,6.844437
18.0,18,6.844437
51.0,51,6.852458
12.0,12,6.860445
16.0,16,6.868435
13.0,13,6.868435
16.0,16,6.868435
29.0,29,6.868435
27.0,27,6.876462
19.0,19,6.876462
13.0,13,6.879984
26.0,26,6.879984
30.0,30,6.884501
14.0,14,6.884501
18.0,18,6.884501
40.0,40,6.884501
14.0,14,6.884501
18.0,18,6.884501
26.0,26,6.884501
11.0,11,6.892519
12.0,12,6.892519
22.0,22,6.892519
18.0,18,6.892519
36.0,36,6.892519
17.0,17,6.90052
21.0,21,6.90052
18.0,18,6.90052
17.0,17,6.90052
17.0,17,6.90052
19.0,19,6.90052
18.0,18,6.90052
18.0,18,6.90052
9.0,9,6.908519
14.0,14,6.908519
29.0,29,6.908519
13.0,13,6.908519
25.0,25,6.908519
16.0,16,6.916517
31.0,31,6.916517
17.0,17,6.916517
11.0,11,6.916517
40.0,40,6.916517
25.0,25,6.916517
20.0,20,6.924519
40.0,40,6.926109
20.0,20,6.926109
18.0,18,6.926109
14.0,14,6.932669
11.0,11,6.932669
13.0,13,6.932669
13.0,13,6.932669
12.0,12,6.932669
30.0,30,6.932669
16.0,16,6.940714
16.0,16,6.940714
20.0,20,6.948726
15.0,15,6.948726
20.0,20,6.948726
12.0,12,6.948726
23.0,23,6.948726
20.0,20,6.948726
32.0,32,6.956682
54.0,54,6.956682
16.0,16,6.956682
12.0,12,6.956682
11.0,11,6.956682
13.0,13,6.956682
55.0,55,6.964683
18.0,18,6.964683
13.0,13,6.964683
23.0,23,6.964683
26.0,26,6.964683
28.0,28,6.972692
12.0,12,6.972692
28.0,28,6.976421
29.0,29,6.978539
13.0,13,6.980051
13.0,13,6.981123
22.0,22,6.981123
35.0,35,6.981123
18.0,18,6.981123
20.0,20,6.981123
15.0,15,6.989136
12.0,12,6.989136
13.0,13,6.989136
13.0,13,6.989136
23.0,23,6.997136
25.0,25,6.997136
28.0,28,6.997136
14.0,14,6.997136
14.0,14,6.997136
17.0,17,6.997136
40.0,40,7.005136
13.0,13,7.005136
13.0,13,7.005136
60.0,60,7.013135
20.0,20,7.013135
28.0,28,7.013135
14.0,14,7.021138
24.0,24,7.030785
21.0,21,7.030785
14.0,14,7.030785
11.0,11,7.037299
38.0,38,7.037299
14.0,14,7.037299
11.0,11,7.045316
28.0,28,7.045316
15.0,15,7.045316
29.0,29,7.053319
15.0,15,7.053319
15.0,15,7.053319
25.0,25,7.053319
48.0,48,7.061334
28.0,28,7.061334
32.0,32,7.069319
29.0,29,7.071187
32.0,32,7.071187
20.0,20,7.077705
28.0,28,7.080215
18.0,18,7.080215
30.0,30,7.080215
20.0,20,7.085727
15.0,15,7.085727
19.0,19,7.085727
20.0,20,7.093758
19.0,19,7.093758
19.0,19,7.093758
32.0,32,7.101745
29.0,29,7.101745
11.0,11,7.101745
11.0,11,7.101745
23.0,23,7.109748
37.0,37,7.109748
19.0,19,7.109748
20.0,20,7.117745
13.0,13,7.117745
16.0,16,7.117745
20.0,20,7.117745
13.0,13,7.117745
18.0,18,7.117745
26.0,26,7.125768
35.0,35,7.125768
31.0,31,7.125768
16.0,16,7.125768
14.0,14,7.133759
36.0,36,7.133759
12.0,12,7.133759
16.0,16,7.141748
24.0,24,7.141748
15.0,15,7.141748
18.0,18,7.141748
33.0,33,7.149759
61.0,61,7.149759
14.0,14,7.157749
29.0,29,7.157749
10.0,10,7.157749
12.0,12,7.165759
49.0,49,7.165759
14.0,14,7.165759
12.0,12,7.165759
28.0,28,7.173804
11.0,11,7.173804
37.0,37,7.181839
24.0,24,7.181839
21.0,21,7.181839
17.0,17,7.189857
16.0,16,7.189857
13.0,13,7.189857
22.0,22,7.189857
14.0,14,7.189857
12.0,12,7.189857
19.0,19,7.197909
20.0,20,7.197909
20.0,20,7.197909
15.0,15,7.197909
26.0,26,7.205859
10.0,10,7.205859
38.0,38,7.205859
13.0,13,7.205859
45.0,45,7.213856
20.0,20,7.213856
10.0,10,7.213856
26.0,26,7.213856
29.0,29,7.221855
13.0,13,7.221855
18.0,18,7.221855
18.0,18,7.221855
15.0,15,7.221855
17.0,17,7.221855
17.0,17,7.221855
15.0,15,7.221855
14.0,14,7.229853
26.0,26,7.237863
89.0,89,7.237863
35.0,35,7.245853
14.0,14,7.245853
18.0,18,7.245853
15.0,15,7.245853
11.0,11,7.253854
34.0,34,7.253854
19.0,19,7.253854
15.0,15,7.253854
33.0,33,7.253854
29.0,29,7.261859
15.0,15,7.261859
21.0,21,7.261859
50.0,50,7.269864
52.0,52,7.269864
42.0,42,7.269864
24.0,24,7.277881
11.0,11,7.277881
38.0,38,7.280393
19.0,19,7.280393
25.0,25,7.285906
36.0,36,7.285906
12.0,12,7.285906
10.0,10,7.285906
27.0,27,7.285906
43.0,43,7.293958
31.0,31,7.293958
58.0,58,7.301923
35.0,35,7.301923
39.0,39,7.301923
13.0,13,7.301923
22.0,22,7.309949
13.0,13,7.309949
19.0,19,7.309949
31.0,31,7.317924
10.0,10,7.317924
11.0,11,7.325948
27.0,27,7.325948
16.0,16,7.325948
23.0,23,7.333924
17.0,17,7.333924
13.0,13,7.333924
49.0,49,7.333924
18.0,18,7.333924
23.0,23,7.333924
26.0,26,7.341946
14.0,14,7.341946
27.0,27,7.349922
18.0,18,7.349922
14.0,14,7.349922
22.0,22,7.349922
22.0,22,7.349922
15.0,15,7.349922
13.0,13,7.349922
20.0,20,7.357942
12.0,12,7.357942
16.0,16,7.357942
30.0,30,7.357942
30.0,30,7.365926
21.0,21,7.365926
11.0,11,7.365926
17.0,17,7.373946
20.0,20,7.373946
12.0,12,7.373946
22.0,22,7.373946
17.0,17,7.382155
19.0,19,7.382155
19.0,19,7.382155
47.0,47,7.390191
16.0,16,7.390191
12.0,12,7.390191
15.0,15,7.390191
14.0,14,7.390191
35.0,35,7.398184
27.0,27,7.398184
16.0,16,7.398184
25.0,25,7.406193
21.0,21,7.406193
31.0,31,7.406193
15.0,15,7.406193
38.0,38,7.414196
35.0,35,7.422194
17.0,17,7.422194
14.0,14,7.422194
11.0,11,7.422194
32.0,32,7.430169
30.0,30,7.430169
11.0,11,7.430169
10.0,10,7.430169
28.0,28,7.438178
17.0,17,7.438178
14.0,14,7.438178
16.0,16,7.438178
19.0,19,7.438178
22.0,22,7.438178
11.0,11,7.438178
8.0,8,7.438178
23.0,23,7.446169
12.0,12,7.446169
47.0,47,7.446169
16.0,16,7.446169
15.0,15,7.454186
14.0,14,7.454186
11.0,11,7.454186
28.0,28,7.454186
56.0,56,7.454186
16.0,16,7.454186
66.0,66,7.47017
20.0,20,7.47017
20.0,20,7.47017
11.0,11,7.47017
18.0,18,7.47017
17.0,17,7.47017
15.0,15,7.47017
16.0,16,7.47017
14.0,14,7.478183
11.0,11,7.480699
12.0,12,7.480699
13.0,13,7.480699
34.0,34,7.480699
17.0,17,7.486212
24.0,24,7.486212
12.0,12,7.486212
31.0,31,7.486212
18.0,18,7.486212
25.0,25,7.486212
18.0,18,7.486212
11.0,11,7.494223
29.0,29,7.494223
10.0,10,7.494223
18.0,18,7.494223
31.0,31,7.502225
16.0,16,7.502225
25.0,25,7.510225
36.0,36,7.510225
32.0,32,7.51823
22.0,22,7.51823
10.0,10,7.51823
11.0,11,7.51823
18.0,18,7.51823
35.0,35,7.526223
14.0,14,7.526223
12.0,12,7.526223
17.0,17,7.526223
16.0,16,7.534303
26.0,26,7.534303
15.0,15,7.534303
10.0,10,7.534303
26.0,26,7.542327
10.0,10,7.542327
50.0,50,7.550327
30.0,30,7.550327
17.0,17,7.550327
10.0,10,7.550327
16.0,16,7.55833
25.0,25,7.55833
22.0,22,7.55833
30.0,30,7.566326
29.0,29,7.566326
21.0,21,7.574341
17.0,17,7.574341
14.0,14,7.574341
19.0,19,7.580866
14.0,14,7.582376
27.0,27,7.582376
15.0,15,7.582376
23.0,23,7.582376
14.0,14,7.582376
20.0,20,7.590394
21.0,21,7.590394
23.0,23,7.590394
12.0,12,7.598389
10.0,10,7.6304
22.0,22,7.6304
15.0,15,7.638393
15.0,15,7.638393
25.0,25,7.646396
29.0,29,7.654399
36.0,36,7.654399
24.0,24,7.670401
18.0,18,7.670401
20.0,20,7.678416
46.0,46,7.686474
25.0,25,7.694507
13.0,13,7.694507
17.0,17,7.702492
14.0,14,7.702492
11.0,11,7.702492
30.0,30,7.702492
22.0,22,7.710496
10.0,10,7.710496
27.0,27,7.710496
40.0,40,7.718501
13.0,13,7.718501
17.0,17,7.718501
15.0,15,7.718501
25.0,25,7.726501
42.0,42,7.726501
19.0,19,7.734497
19.0,19,7.734497
13.0,13,7.734497
13.0,13,7.742498
26.0,26,7.742498
33.0,33,7.742498
25.0,25,7.750522
17.0,17,7.750522
20.0,20,7.750522
19.0,19,7.750522
18.0,18,7.750522
31.0,31,7.750522
16.0,16,7.750522
10.0,10,7.758515
44.0,44,7.758515
20.0,20,7.758515
11.0,11,7.758515
39.0,39,7.758515
28.0,28,7.766494
86.0,86,7.766494
16.0,16,7.766494
25.0,25,7.774505
10.0,10,7.774505
12.0,12,7.774505
13.0,13,7.782555
50.0,50,7.782555
22.0,22,7.790572
28.0,28,7.790572
15.0,15,7.798568
24.0,24,7.798568
20.0,20,7.798568
15.0,15,7.798568
18.0,18,7.798568
49.0,49,7.80657
13.0,13,7.80657
34.0,34,7.80657
40.0,40,7.814582
9.0,9,7.814582
20.0,20,7.814582
29.0,29,7.822572
19.0,19,7.822572
36.0,36,7.822572
39.0,39,7.822572
20.0,20,7.83057
25.0,25,7.83057
14.0,14,7.83057
17.0,17,7.838583
38.0,38,7.838583
17.0,17,7.838583
38.0,38,7.838583
11.0,11,7.838583
20.0,20,7.8475
21.0,21,7.8475
13.0,13,7.8475
31.0,31,7.8475
16.0,16,7.855037
18.0,18,7.855037
14.0,14,7.855037
13.0,13,7.855037
28.0,28,7.855037
20.0,20,7.855037
9.0,9,7.855037
27.0,27,7.864488
11.0,11,7.864488
10.0,10,7.864488
58.0,58,7.864488
11.0,11,7.871511
15.0,15,7.871511
19.0,19,7.879524
34.0,34,7.881043
9.0,9,7.881043
15.0,15,7.881043
22.0,22,7.887562
15.0,15,7.887562
16.0,16,7.887562
25.0,25,7.887562
26.0,26,7.887562
41.0,41,7.895586
72.0,72,7.90358
10.0,10,7.90358
15.0,15,7.90358
11.0,11,7.90358
21.0,21,7.90358
19.0,19,7.90358
30.0,30,7.911597
26.0,26,7.911597
22.0,22,7.911597
21.0,21,7.919585
23.0,23,7.919585
18.0,18,7.919585
16.0,16,7.919585
49.0,49,7.919585
38.0,38,7.927603
15.0,15,7.927603
29.0,29,7.935582
13.0,13,7.935582
14.0,14,7.935582
29.0,29,7.935582
20.0,20,7.935582
19.0,19,7.935582
11.0,11,7.935582
16.0,16,7.943607
19.0,19,7.943607
23.0,23,7.943607
21.0,21,7.943607
13.0,13,7.943607
13.0,13,7.943607
42.0,42,7.951597
14.0,14,7.951597
22.0,22,7.951597
12.0,12,7.951597
34.0,34,7.959598
15.0,15,7.967577
23.0,23,7.967577
12.0,12,7.967577
30.0,30,7.967577
35.0,35,7.967577
18.0,18,7.967577
22.0,22,7.975586
38.0,38,7.975586
13.0,13,7.975586
21.0,21,7.981104
20.0,20,7.983616
14.0,14,7.983616
13.0,13,7.983616
12.0,12,7.983616
21.0,21,7.983616
13.0,13,7.983616
22.0,22,7.983616
17.0,17,7.983616
18.0,18,7.991625
35.0,35,7.991625
13.0,13,7.991625
