#{"t_start": 1688933093.8043628, "env_id": "Pendulum-v1"}
r,l,t
-1155.36933,200,3.157021
-1366.857503,200,3.344098
-1664.677576,200,3.512588
-875.559529,200,3.694964
-1680.674427,200,3.865905
-903.12882,200,4.020696
-1055.535687,200,4.187769
-1387.335617,200,4.316181
-1525.39847,200,4.444901
-1747.215198,200,4.563443
-975.188704,200,6.093417
-858.122242,200,6.214575
-1245.491344,200,6.310983
-859.010684,200,6.404189
-903.010535,200,6.505874
-1123.168743,200,6.609108
-1135.21875,200,6.700182
-1169.895061,200,6.802572
-1661.555302,200,6.895763
-1112.687062,200,6.983968
-1555.546719,200,8.289122
-1368.413544,200,8.410245
-882.117545,200,8.508725
-1174.411651,200,8.60343
-1195.317606,200,8.691988
-1326.191048,200,8.786445
-1460.46635,200,8.877765
-1653.828222,200,8.982799
-1291.722082,200,9.074552
-1513.933893,200,9.167694
-765.396882,200,10.875004
-966.642231,200,11.001616
-1655.904828,200,11.126954
-1630.603046,200,11.217382
-1161.9872,200,11.311332
-1081.526421,200,11.412259
-1286.244826,200,11.510176
-1151.366098,200,11.62105
-968.31895,200,11.717371
-860.07051,200,11.813412
-1402.43444,200,13.162961
-757.857893,200,13.288787
-1469.219732,200,13.397758
-1326.817578,200,13.493359
-1330.513909,200,13.589597
-1470.472466,200,13.696523
-1269.589665,200,13.793696
-1650.562527,200,13.907272
-1465.518962,200,14.001795
-1232.798179,200,14.099465
-1015.475067,200,14.199584
-1315.726754,200,15.82284
-1370.37061,200,15.943849
-1781.825001,200,16.03089
-1697.930791,200,16.128041
-992.869745,200,16.242859
-1069.911896,200,16.343438
-949.940636,200,16.448202
-1311.202628,200,16.546212
-1254.579627,200,16.642376
-1644.116323,200,16.745664
-1355.402394,200,18.509536
-1180.453361,200,18.665559
-1250.612276,200,18.802932
-1214.148699,200,18.993228
-1299.914563,200,19.149313
-875.150596,200,19.329775
-1310.431105,200,19.490423
-1818.698149,200,19.62487
-831.928506,200,19.768776
-873.614894,200,19.93849
-1347.787023,200,22.330679
-1319.259442,200,22.521633
-1279.696045,200,22.695577
-1601.368359,200,22.850787
-911.777442,200,23.014291
-1000.812818,200,23.178202
-810.592062,200,23.323777
-861.957505,200,23.462127
-1592.986027,200,23.599416
-870.978536,200,23.740302
-1363.056723,200,25.488295
-748.746054,200,25.656934
-1337.59341,200,25.810109
-1338.925441,200,25.951956
-1218.653516,200,26.104086
-1440.287611,200,26.28862
-1602.895468,200,26.427218
-1208.871626,200,26.565356
-1479.521563,200,26.696761
-1741.850005,200,26.830887
-1674.228698,200,26.962253
-965.582622,200,28.943853
-1317.666117,200,29.161196
-1255.789276,200,29.375819
-1076.619414,200,29.593809
-1068.417085,200,29.789109
-1674.995888,200,29.963775
-1178.081962,200,30.153114
-857.16978,200,30.311005
-1160.280116,200,30.466147
-1000.996439,200,30.61588
-1640.53843,200,32.272532
-1198.165705,200,32.42477
-1525.192654,200,32.565208
-871.309333,200,32.714116
-1688.803942,200,32.86081
-1179.43661,200,32.999057
-1192.902169,200,33.131176
-1081.767952,200,33.263239
-1747.227349,200,33.395392
-1068.804489,200,33.521948
-1161.336629,200,35.252562
-1042.574688,200,35.494866
-1202.700701,200,35.755876
-769.024224,200,36.014911
-1238.150668,200,36.239237
-1424.324201,200,36.422598
-1319.898615,200,36.616617
-874.176263,200,36.814078
-1071.546009,200,37.010302
-1040.679796,200,37.18049
-1387.434069,200,39.208769
-1580.921616,200,39.399417
-942.607753,200,39.578986
-761.3769,200,39.754267
-976.538216,200,39.906595
-1837.365992,200,40.166079
-760.154444,200,40.321756
-1310.722457,200,40.467044
-780.871853,200,40.614926
-838.123618,200,40.756723
-1204.004081,200,40.884594
-925.645294,200,42.585269
-1114.301243,200,42.743065
-1326.555498,200,42.885322
-974.70186,200,43.026553
-1656.851161,200,43.155407
-1413.228341,200,43.283899
-1475.162919,200,43.408124
-993.014013,200,43.53865
-1099.697364,200,43.665205
-863.742671,200,43.786105
-1740.3497,200,45.455827
-1542.251936,200,45.612994
-970.975211,200,45.755879
-1400.911897,200,45.892795
-924.183225,200,46.020774
-879.377392,200,46.148377
-1717.499498,200,46.276652
-983.608709,200,46.40204
-985.628604,200,46.526676
-1601.692662,200,46.649344
-1455.926478,200,48.294715
-1289.496213,200,48.457227
-1003.475147,200,48.601216
-1183.575221,200,48.745395
-1243.372511,200,48.882709
-1094.177014,200,49.013894
-1202.893597,200,49.183617
-1307.104784,200,49.319025
-1437.804122,200,49.448541
-1199.231829,200,49.574411
-1011.585453,200,51.255373
-1345.264563,200,51.455844
-896.342631,200,51.648451
-1657.296743,200,51.844177
-1455.130634,200,52.006805
-880.018413,200,52.173907
-1386.354779,200,52.359993
-891.599719,200,52.596157
-931.92237,200,52.806957
-997.896883,200,53.050662
-939.349227,200,53.283565
-1160.157884,200,55.325059
-1273.72575,200,55.493366
-952.376853,200,55.64808
-1342.000135,200,55.779707
-1439.855459,200,55.94069
-969.861237,200,56.102207
-905.020889,200,56.26523
-903.255419,200,56.4235
-897.080078,200,56.58831
-947.817826,200,56.774224
-1072.186157,200,58.611483
-1083.244851,200,58.788049
-876.853883,200,58.938907
-1280.155172,200,59.074348
-869.051034,200,59.201059
-856.132862,200,59.333309
-985.843424,200,59.466615
-1222.446758,200,59.59695
-1073.920163,200,59.729498
-885.30913,200,59.851357
-1128.422409,200,61.40943
-935.852933,200,61.579348
-1167.545138,200,61.725482
-1077.471006,200,61.85779
-897.311242,200,61.98999
-1096.518411,200,62.118243
-1186.464322,200,62.255913
-980.907903,200,62.386488
-981.579865,200,62.512347
-925.604174,200,62.630214
-1094.502709,200,64.196689
-1224.334945,200,64.380069
-1209.635089,200,64.528498
-1400.017083,200,64.672154
-1216.41688,200,64.803803
-846.378428,200,64.927248
-854.995848,200,65.058787
-1076.550077,200,65.1829
-1368.553458,200,65.308588
-1509.028282,200,65.426338
-1085.594848,200,65.544093
-984.809166,200,67.230375
-987.338729,200,67.397014
-1099.250016,200,67.568245
-918.570531,200,67.754174
-893.044925,200,67.922884
-1004.835535,200,68.084956
-1001.425971,200,68.247578
-998.77456,200,68.417491
-1054.588331,200,68.58781
-1311.147904,200,68.765012
-1124.965673,200,70.787541
-1227.501395,200,70.9388
-977.24804,200,71.074614
-1124.449489,200,71.205903
-1260.810012,200,71.367631
-1280.071059,200,71.497123
-1103.523521,200,71.629395
-993.676528,200,71.748326
-1028.87113,200,71.871186
-768.759954,200,71.989795
-906.922509,200,73.554296
-968.368534,200,73.714881
-904.71356,200,73.849867
-1089.937595,200,73.978988
-825.287352,200,74.108633
-1126.439474,200,74.242678
-1019.602912,200,74.36507
-907.209131,200,74.489916
-1026.856478,200,74.6067
-1241.734185,200,74.723501
-903.56321,200,76.342531
-1106.493245,200,76.496237
-981.444606,200,76.630667
-1655.615418,200,76.761349
-1363.782466,200,76.894602
-730.859503,200,77.020473
-1044.069049,200,77.14291
-1259.798274,200,77.260398
-1270.364519,200,77.379416
-972.601956,200,77.49472
-995.052837,200,77.627462
-1155.115984,200,79.339499
-941.883772,200,79.509276
-1031.74835,200,79.685746
-1022.293983,200,79.843713
-1158.746181,200,80.004839
-1233.606752,200,80.152776
-980.544865,200,80.287663
-1159.757041,200,80.413361
-768.991418,200,80.545873
-1018.800097,200,80.681603
-1254.356266,200,82.517112
-1101.506142,200,82.66154
-1382.766782,200,82.796688
-1209.404431,200,82.946917
-1059.513864,200,83.11246
-936.454404,200,83.255287
-1554.769405,200,83.408185
-941.363574,200,83.563469
-1183.615134,200,83.759033
-768.411088,200,83.934158
-1005.089192,200,86.112432
-899.815162,200,86.290495
-915.899382,200,86.441211
-1108.307862,200,86.579159
-1603.784285,200,86.729066
-1594.35124,200,86.86112
-990.198698,200,86.995609
-1039.33865,200,87.130085
-762.354091,200,87.262149
-899.385177,200,87.416616
-1089.87938,200,89.353401
-1090.299952,200,89.533932
-956.659303,200,89.695714
-1262.729826,200,89.839566
-809.78288,200,89.989579
-1045.790632,200,90.149375
-1077.947155,200,90.290486
-1173.250137,200,90.43186
-975.04975,200,90.581204
-1211.662499,200,90.7858
-1194.065863,200,92.790318
-1256.570612,200,92.958091
-1214.840255,200,93.109282
-1100.377868,200,93.243579
-990.794336,200,93.377898
-1216.859706,200,93.50068
-775.470305,200,93.626722
-1218.922803,200,93.749556
-1022.697202,200,93.866212
-1091.60294,200,93.993321
-1356.747702,200,94.113045
-1094.301374,200,96.233394
-1308.961192,200,96.43704
-1006.902888,200,96.601412
-1299.91759,200,96.764105
-939.885037,200,96.915002
-1106.060388,200,97.061003
-764.460867,200,97.190414
-838.030532,200,97.318377
-1353.446117,200,97.445984
-863.573987,200,97.570147
-1087.076005,200,99.460331
-965.965517,200,99.723903
-1432.050737,200,99.955168
-1189.279092,200,100.169576
-916.663962,200,100.347188
-1134.073027,200,100.521823
-885.52005,200,100.703019
-1353.207268,200,100.865207
-1305.542509,200,101.050981
-1505.51751,200,101.222663
-1092.014344,200,103.198144
-1213.032429,200,103.363806
-979.202053,200,103.500988
-888.035303,200,103.645177
-1085.084642,200,103.793492
-912.565873,200,103.928042
-1092.726288,200,104.059156
-980.214571,200,104.185255
-1102.147756,200,104.324934
-1314.42857,200,104.473736
-989.914925,200,106.367098
-850.612892,200,106.543659
-766.504385,200,106.689698
-984.086652,200,106.837295
-990.331647,200,106.975921
-1015.825373,200,107.110913
-1001.49822,200,107.233985
-894.459945,200,107.360994
-1066.663336,200,107.482766
-885.366137,200,107.598674
-914.9407,200,107.721613
-771.375519,200,109.397796
-911.724306,200,109.557618
-988.551877,200,109.723313
-1000.740255,200,109.869448
-1432.535397,200,110.000859
-1221.79221,200,110.129275
-1016.737031,200,110.31064
-892.712571,200,110.515652
-931.573216,200,110.664539
-966.57439,200,110.787299
-1338.92777,200,112.292105
-749.307802,200,112.434231
-1035.569006,200,112.563417
-1442.71948,200,112.68906
-897.350636,200,112.806612
-1007.416941,200,112.920701
-1472.273822,200,113.038691
-1511.271434,200,113.178076
-1025.428488,200,113.336761
-1025.383008,200,113.490989
-1073.37642,200,115.363355
-1290.510213,200,115.714367
-1012.693593,200,116.023376
-1078.56815,200,116.3068
-1240.319992,200,116.63952
-950.578876,200,116.940626
-1104.281636,200,117.234687
-1188.527557,200,117.593164
-1298.55467,200,117.898975
-822.137338,200,118.146755
-927.61998,200,120.698529
-901.605963,200,120.967251
-1091.211712,200,121.259985
-1030.948671,200,121.560704
-984.646936,200,121.82011
-1128.888386,200,122.06184
-988.998151,200,122.387083
-1055.004733,200,122.670664
-974.514596,200,122.9382
-1004.081613,200,123.174494
-1264.744286,200,123.426146
-913.723754,200,126.063153
-1033.978123,200,126.425236
-1039.563425,200,126.755055
-903.966015,200,127.007037
-1119.410966,200,127.274597
-882.463569,200,127.525917
-874.678869,200,127.946996
-1265.695913,200,128.255463
-1035.746382,200,128.544609
-903.871399,200,128.808273
-1152.148169,200,132.17663
-1115.222417,200,132.574844
-1040.882845,200,132.886553
-1157.885221,200,133.175791
-1038.368013,200,133.519958
-976.28825,200,133.840256
-771.076699,200,134.178135
-1092.095122,200,134.440144
-1407.91193,200,134.693017
-876.240303,200,134.913125
-865.548809,200,136.718907
-911.088058,200,136.844337
-1159.109182,200,137.048507
-1083.466355,200,137.268408
-1518.792871,200,137.441005
-731.527537,200,137.629673
-1197.966608,200,137.784935
-981.090258,200,137.975643
-995.593693,200,138.132387
-1325.63761,200,138.232345
-1013.614004,200,139.735558
-809.161984,200,139.861017
-997.49223,200,140.049865
-998.115218,200,140.19169
-873.17343,200,140.364209
-1061.238225,200,140.521875
-1216.127965,200,140.757234
-879.23346,200,140.946008
-983.771029,200,141.103182
-751.642988,200,141.245359
-1054.962512,200,141.38668
-1083.787136,200,142.912158
-879.019363,200,143.116429
-898.878236,200,143.273394
-912.438896,200,143.399571
-1185.390568,200,143.497525
-1014.332672,200,143.682144
-969.827261,200,143.824043
-1052.964911,200,143.981351
-1043.799436,200,144.154438
-897.92156,200,144.300306
-1196.297873,200,145.851211
-1052.606255,200,145.9771
-885.541229,200,146.071267
-957.582412,200,146.259726
-1243.583778,200,146.404834
-1043.991756,200,146.558711
-1068.255527,200,146.715309
-1006.638513,200,146.919734
-942.139463,200,147.155102
-1167.571208,200,147.421936
-869.749341,200,149.495009
-1089.603543,200,149.637592
-1040.912256,200,149.778779
-932.356208,200,149.920055
-1291.418336,200,150.045556
-1108.988223,200,150.15535
-1020.947563,200,150.249535
-1054.852693,200,150.406443
-1025.544441,200,150.563767
-1149.558833,200,150.736697
-1121.741511,200,152.291861
-1350.084711,200,152.433351
-776.334407,200,152.621896
-910.781736,200,152.763101
-1068.561448,200,152.967729
-1192.595338,200,153.125192
-1166.377137,200,153.281544
